segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_left_roi_x0,local_left_roi_x1,local_right_roi_x0,local_right_roi_x1,pred_lpos,pred_rpos,final_source,suspicious_reasons
lap1_problem_section_v0_1,14.000000,80.000000,469,51,1780899026.193458319,15.717910767,124.937543,55.947651,16,235,1251,14,3,3,-0.774193548,0.625000000,56,590,534,323,3,BOTH,BOTH,STRAIGHT,0,1,2,0,0,0,0,90,,,,,,54,590,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,470,52,1780899026.225980997,15.750433445,125.758821,56.304288,16,236,1325,16,2,4,-0.783132530,0.623931624,54,589,535,321,1,BOTH,BOTH,STRAIGHT,0,2,1,0,0,0,0,90,,,,,,56,590,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,471,53,1780899026.260753393,15.785205841,126.605256,56.658513,16,236,1376,14,3,3,-0.763157895,0.623853211,54,587,533,320,0,BOTH,BOTH,STRAIGHT,0,1,2,0,0,0,0,90,,,,,,54,589,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,472,54,1780899026.293642044,15.818094492,127.254631,57.120533,16,236,1410,19,2,4,-0.780701754,0.623762376,55,585,530,320,0,BOTH,BOTH,STRAIGHT,0,0,3,0,0,0,0,90,,,,,,54,587,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,473,55,1780899026.332396984,15.856849432,127.814162,57.377208,16,236,1424,20,4,5,-0.761904762,0.600000000,55,586,531,320,0,BOTH,BOTH,STRAIGHT,0,0,1,0,0,0,0,90,,,,,,55,585,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,474,56,1780899026.363523722,15.887976170,128.290597,57.588138,16,236,1443,21,4,6,-0.787878788,0.619047619,57,583,526,320,0,BOTH,BOTH,STRAIGHT,0,0,5,0,0,0,0,90,,,,,,55,586,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,475,57,1780899026.395004272,15.919456720,128.549929,57.723933,16,236,1489,17,3,4,-0.789473684,0.626262626,57,584,527,320,0,BOTH,BOTH,STRAIGHT,0,0,1,0,0,0,0,90,,,,,,57,583,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,476,58,1780899026.430569887,15.955022335,129.173480,58.065209,16,236,1544,18,3,4,-0.764705882,0.577586207,55,606,551,330,10,BOTH,BOTH,STRAIGHT,0,10,24,0,0,0,0,90,,,,,,57,584,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,477,59,1780899026.462946415,15.987398863,129.657713,58.308376,16,236,1593,22,4,7,-0.742857143,0.594594595,51,584,533,317,-3,BOTH,BOTH,STRAIGHT,0,13,18,0,0,0,0,90,,,,,,55,606,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,478,60,1780899026.495793819,16.020246267,130.002969,58.576223,16,236,1641,19,2,4,-0.756756757,0.624060150,50,581,531,315,-5,BOTH,BOTH,STRAIGHT,0,2,2,0,0,0,0,90,,,,,,51,584,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,479,61,1780899026.530662775,16.055115223,131.285114,59.281203,16,236,1703,19,3,5,-0.702127660,0.580645161,45,587,542,316,-4,BOTH,BOTH,STRAIGHT,0,1,11,0,0,0,0,90,,,,,,50,581,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,480,62,1780899026.562589645,16.087042093,132.189730,59.830609,16,236,1750,21,3,5,-0.755102041,0.606060606,51,587,536,319,-1,BOTH,BOTH,STRAIGHT,0,3,6,0,0,0,0,90,,,,,,45,587,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,481,63,1780899026.597241402,16.121693850,134.435199,60.714762,16,236,1825,18,3,5,-0.750000000,0.578947368,56,597,541,326,6,BOTH,BOTH,STRAIGHT,0,7,5,0,0,0,0,90,,,,,,51,587,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,482,64,1780899026.629274607,16.153727055,136.840185,61.790747,16,236,1935,20,4,5,-0.730158730,0.636363636,60,591,531,325,5,BOTH,BOTH,STRAIGHT,0,1,10,0,0,0,0,90,,,,,,56,597,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,483,65,1780899026.662574530,16.187026978,137.557926,62.313696,16,236,2025,22,5,4,-1.000000000,0.622641509,132,593,461,362,42,BOTH,BOTH,STRAIGHT,0,37,70,0,0,0,0,90,,,,,,60,591,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,484,66,1780899026.697451353,16.221903801,139.339219,63.011871,16,236,2108,23,5,4,-1.111111111,0.610169492,150,598,448,374,54,BOTH,BOTH,STRAIGHT,0,12,13,0,0,0,0,90,,,,,,132,593,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,485,67,1780899026.730000496,16.254452944,141.059148,63.560001,16,236,2246,21,4,4,-0.756410256,0.621212121,69,598,529,333,13,BOTH,BOTH,STRAIGHT,0,41,81,0,0,0,0,90,,,,,,150,598,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,486,68,1780899026.760050774,16.284503222,142.924830,64.085397,16,236,2358,26,4,4,-1.047619048,0.594594595,156,604,448,380,60,BOTH,BOTH,STRAIGHT,0,47,81,0,0,0,0,90,,,,,,69,598,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,487,69,1780899026.797541142,16.321993589,145.176932,64.807261,16,236,2317,30,5,8,-1.043478261,1.294117647,156,450,294,303,-17,BOTH,BOTH,STRAIGHT,0,77,154,0,0,0,0,90,,,,,,156,604,FULL_BASELINE,lane_width_jump
lap1_problem_section_v0_1,14.000000,80.000000,488,70,1780899026.829721689,16.354174137,143.523608,63.964012,16,236,2258,27,5,7,-1.000000000,1.375000000,154,447,293,300,-20,BOTH,BOTH,STRAIGHT,0,3,1,0,0,0,0,90,,,,,,156,450,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,489,71,1780899026.867621660,16.392074108,140.078651,62.288282,16,236,2120,29,5,9,-1.120000000,1.444444444,154,444,290,299,-21,BOTH,BOTH,STRAIGHT,0,1,3,0,0,0,0,90,,,,,,154,447,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,490,72,1780899026.898447037,16.422899485,138.063395,61.472297,16,236,1988,22,6,9,-1.764705882,1.444444444,208,445,237,256,-64,BOTH,BOTH,LEFT,0,43,53,0,0,0,0,90,,,,,,154,444,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,491,73,1780899026.929491043,16.453943491,136.785128,61.189336,16,236,1985,21,6,8,-1.666666667,1.450000000,207,445,238,256,-64,BOTH,BOTH,LEFT,0,0,1,0,0,0,0,90,,,,,,208,445,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,492,74,1780899026.966398478,16.490850925,136.240838,61.157265,16,236,2033,23,6,8,-1.650000000,1.500000000,207,444,237,255,-65,BOTH,BOTH,LEFT,0,1,1,0,0,0,0,90,,,,,,207,445,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,493,75,1780899026.998740196,16.523192644,136.031719,61.319886,16,236,2081,21,7,7,-1.666666667,1.478260870,207,445,238,256,-64,BOTH,BOTH,LEFT,0,1,1,0,0,0,0,90,,,,,,207,444,FULL_BASELINE,
