frame_idx,processed_idx,timestamp,rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,corner,fail_count,center_jump,lane_width_jump,suspicious_reasons
75,75,1780899012.991731167,2.516184,137.589943,47.877971,24,235,522,5,3,2,-0.552238806,0.840000000,57,600,543,328,8,BOTH,STRAIGHT,0,2,5,
76,76,1780899013.024621964,2.549074,137.610511,47.870111,27,235,527,6,4,2,-0.531250000,0.840909091,55,600,545,327,7,BOTH,STRAIGHT,0,1,2,
77,77,1780899013.055374146,2.579827,137.616264,47.871189,19,235,526,5,3,2,-0.558139535,0.810526316,59,601,542,330,10,BOTH,STRAIGHT,0,3,3,
78,78,1780899013.090064287,2.614517,137.580170,47.890581,19,235,475,5,3,2,-0.531914894,0.854545455,54,599,545,326,6,BOTH,STRAIGHT,0,4,3,
79,79,1780899013.126997709,2.651450,137.546847,47.918599,19,235,523,5,3,2,-0.535714286,0.836956522,54,600,546,327,7,BOTH,STRAIGHT,0,1,1,
80,80,1780899013.153735161,2.678188,137.515284,47.947304,18,235,523,5,3,2,-0.508771930,0.839506173,51,600,549,325,5,BOTH,STRAIGHT,0,2,3,
81,81,1780899013.191868305,2.716321,137.570881,47.919694,16,235,520,6,3,3,-0.538461538,0.838235294,55,600,545,327,7,BOTH,STRAIGHT,0,2,4,
82,82,1780899013.222573280,2.747026,137.535753,47.939101,33,235,476,5,3,2,-0.571428571,0.836956522,59,600,541,329,9,BOTH,STRAIGHT,0,2,4,
83,83,1780899013.257691860,2.782144,137.511705,47.955000,24,235,477,5,3,2,-0.592592593,0.868421053,61,598,537,329,9,BOTH,STRAIGHT,0,0,4,
84,84,1780899013.291231155,2.815684,137.438224,48.003006,35,235,518,5,3,2,-0.510204082,0.839080460,51,600,549,325,5,BOTH,STRAIGHT,0,4,12,
85,85,1780899013.323130131,2.847583,137.483878,47.980897,29,235,503,7,4,3,-0.551282051,0.837837838,58,600,542,329,9,BOTH,STRAIGHT,0,4,7,
86,86,1780899013.358131886,2.882584,137.528253,47.944058,22,235,521,6,4,2,-0.517241379,0.839080460,51,600,549,325,5,BOTH,STRAIGHT,0,4,7,
87,87,1780899013.391705751,2.916158,137.546165,47.944958,35,235,522,7,4,3,-0.527272727,0.839080460,53,600,547,326,6,BOTH,STRAIGHT,0,1,2,
88,88,1780899013.425534010,2.949986,137.463224,47.994141,25,235,521,6,3,3,-0.554054054,0.839080460,58,600,542,329,9,BOTH,STRAIGHT,0,3,5,
89,89,1780899013.455871344,2.980324,137.527372,47.947469,16,235,503,6,3,3,-0.508771930,0.839285714,51,599,548,325,5,BOTH,STRAIGHT,0,4,6,
90,90,1780899013.487867594,3.012320,137.547244,47.947080,16,235,520,7,4,3,-0.522727273,0.837837838,52,600,548,326,6,BOTH,STRAIGHT,0,1,0,
91,91,1780899013.526202440,3.050655,137.464943,47.987396,33,235,521,6,4,2,-0.600000000,0.836734694,60,600,540,330,10,BOTH,STRAIGHT,0,4,8,
92,92,1780899013.555736065,3.080189,137.529134,47.967735,16,235,523,6,4,2,-0.533333333,0.860000000,54,598,544,326,6,BOTH,STRAIGHT,0,4,4,
93,93,1780899013.588031769,3.112484,137.494929,47.982227,37,235,519,6,4,2,-0.510204082,0.860465116,51,598,547,324,4,BOTH,STRAIGHT,0,2,3,
94,94,1780899013.623703003,3.148155,137.576591,47.933241,29,235,526,6,3,3,-0.526315789,0.839285714,54,599,545,326,6,BOTH,STRAIGHT,0,2,2,
95,95,1780899013.656213522,3.180666,137.643196,47.903031,30,235,474,6,3,3,-0.487179487,0.838235294,47,600,553,323,3,BOTH,STRAIGHT,0,3,8,
96,96,1780899013.691891193,3.216344,137.677358,47.891534,17,235,524,5,3,2,-0.508771930,0.838235294,51,600,549,325,5,BOTH,STRAIGHT,0,2,4,
97,97,1780899013.725633383,3.250086,137.871236,47.806594,22,235,479,6,4,2,-0.508771930,0.840909091,51,600,549,325,5,BOTH,STRAIGHT,0,0,0,
98,98,1780899013.757702827,3.282155,137.954446,47.783605,19,235,477,6,3,3,-0.509803922,0.839080460,51,600,549,325,5,BOTH,STRAIGHT,0,0,0,
99,99,1780899013.793170691,3.317623,138.138920,47.739816,16,235,522,5,3,2,-0.558441558,0.863636364,58,598,540,328,8,BOTH,STRAIGHT,0,3,9,
100,100,1780899013.824979305,3.349432,138.318026,47.714031,17,235,526,6,4,2,-0.527777778,0.840909091,54,600,546,327,7,BOTH,STRAIGHT,0,1,6,
101,101,1780899013.858326197,3.382779,138.419631,47.735930,30,235,522,5,3,2,-0.560000000,0.857142857,56,599,543,327,7,BOTH,STRAIGHT,0,0,3,
102,102,1780899013.892391443,3.416844,138.561349,47.721464,24,235,523,6,4,2,-0.511111111,0.860465116,52,598,546,325,5,BOTH,STRAIGHT,0,2,3,
103,103,1780899013.923945189,3.448398,138.678253,47.685853,36,235,522,6,3,3,-0.600000000,0.844827586,60,599,539,329,9,BOTH,STRAIGHT,0,4,7,
